,index,SUBJECT,Subject,Measure,Frequency,Unit,Reference Period,Level,Name
19,16603,CPGRLE01,Consumer Price Index > OECD Groups > All items non-food non-energy > Total,Growth rate same period previous year,Monthly,Percentage,,Consumer Price Index,Consumer Price Index OECD Groups All items non-food non-energy Total
20,17388,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency",Monthly,US Dollar,,Monetary aggregates and their components,Monetary aggregates and their components Broad money and components M3 M3
21,18191,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Monthly,US Dollar,,Monetary aggregates and their components,Monetary aggregates and their components Broad money and components M3 M3
22,18964,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3,"Growth rate previous period, s.a.",Monthly,Percentage,,Monetary aggregates and their components,Monetary aggregates and their components Broad money and components M3 M3
23,19735,SLRTCR03,Sales > Retail trade > Car registration > Passenger cars,"Index 2015=100, s.a.",Monthly,Index,2015=100,Sales,Sales Retail trade Car registration Passenger cars
24,20508,SLRTCR03,Sales > Retail trade > Car registration > Passenger cars,"Monthly level, s.a.",Monthly,Number,,Sales,Sales Retail trade Car registration Passenger cars
25,21281,SLRTCR03,Sales > Retail trade > Car registration > Passenger cars,"Growth rate previous period, s.a.",Monthly,Percentage,,Sales,Sales Retail trade Car registration Passenger cars
26,22053,SLRTCR03,Sales > Retail trade > Car registration > Passenger cars,"Growth rate same period previous year, s.a.",Monthly,Percentage,,Sales,Sales Retail trade Car registration Passenger cars
27,22814,IR3TED01,Interest Rates > 3-month or 90-day rates and yields > Eurodollar deposits > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates 3-month or 90-day rates and yields Eurodollar deposits Total
28,23552,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates Immediate rates (< 24 hrs) Call money/interbank rate Total
29,24380,PRMNCG01,Production > Manufacturing > Consumer goods > Total,Index 2015=100,Monthly,Index,2015=100,Production,Production Manufacturing Consumer goods Total
30,25340,PRMNCG01,Production > Manufacturing > Consumer goods > Total,"Index 2015=100, s.a.",Monthly,Index,2015=100,Production,Production Manufacturing Consumer goods Total
31,26300,PRCNTO01,Production > Construction > Total construction > Total,Index 2015=100,Monthly,Index,2015=100,Production,Production Construction Total construction Total
32,27085,PRCNTO01,Production > Construction > Total construction > Total,"Index 2015=100, s.a.",Monthly,Index,2015=100,Production,Production Construction Total construction Total
33,27870,PRCNTO01,Production > Construction > Total construction > Total,Monthly level,Monthly,US Dollar,,Production,Production Construction Total construction Total
34,28655,PRCNTO01,Production > Construction > Total construction > Total,"Monthly level, s.a.",Monthly,US Dollar,,Production,Production Construction Total construction Total
35,29440,PRCNTO01,Production > Construction > Total construction > Total,"Growth rate previous period, s.a.",Monthly,Percentage,,Production,Production Construction Total construction Total
36,30224,PRCNTO01,Production > Construction > Total construction > Total,"Growth rate same period previous year, s.a.",Monthly,Percentage,,Production,Production Construction Total construction Total
37,30997,CPGREN01,"Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline) > Total",Index 2015=100,Monthly,Index,2015=100,Consumer Price Index,"Consumer Price Index OECD Groups Energy (Fuel, electricity & gasoline) Total"
38,31794,CPGREN01,"Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline) > Total",Growth rate same period previous year,Monthly,Percentage,,Consumer Price Index,"Consumer Price Index OECD Groups Energy (Fuel, electricity & gasoline) Total"
39,32579,BSOITE02,Business tendency surveys (manufacturing) > Orders inflow > Tendency > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Orders inflow Tendency National indicator
40,33389,IRLTCT01,Interest Rates > Long-term government bond yields > Combined terms > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates Long-term government bond yields Combined terms Total
41,34211,STMNIS01,Short term statistics > Stocks - Manufacturing > Inventories to shipments > Total,"Level, rate or national currency",Monthly,Ratio,,Short term statistics,Short term statistics Stocks - Manufacturing Inventories to shipments Total
42,34995,STMNIS01,Short term statistics > Stocks - Manufacturing > Inventories to shipments > Total,"Level, rate or national currency, s.a.",Monthly,Ratio,,Short term statistics,Short term statistics Stocks - Manufacturing Inventories to shipments Total
43,35779,SLWHTO02,Sales > Wholesale trade > Total wholesale trade > Value,Monthly level,Monthly,US Dollar,,Sales,Sales Wholesale trade Total wholesale trade Value
44,36599,SLWHTO02,Sales > Wholesale trade > Total wholesale trade > Value,"Monthly level, s.a.",Monthly,US Dollar,,Sales,Sales Wholesale trade Total wholesale trade Value
45,37419,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates 3-month or 90-day rates and yields Interbank rates Total
46,38127,CCEUSP01,"Currency Conversions > EURO exchange rate > Spot, end of period > EUR:national currency","Level, rate or national currency",Monthly,Euro,,Currency Conversions,"Currency Conversions EURO exchange rate Spot, end of period EUR:national currency"
47,38420,ODMNTO02,Orders > Manufacturing > Total orders > Value,Monthly level,Monthly,US Dollar,,Orders,Orders Manufacturing Total orders Value
48,39240,ODMNTO02,Orders > Manufacturing > Total orders > Value,"Monthly level, s.a.",Monthly,US Dollar,,Orders,Orders Manufacturing Total orders Value
49,40060,BSCICP02,Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Confidence indicators Composite indicators National indicator
50,40942,CSCICP02,Consumer opinion surveys > Confidence indicators > Composite indicators > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Consumer opinion surveys,Consumer opinion surveys Confidence indicators Composite indicators National indicator
51,41704,XTEXVA01,International Trade > Exports > Value (goods) > Total,"National currency, monthly level",Monthly,US Dollar,,International Trade,International Trade Exports Value (goods) Total
52,42524,XTEXVA01,International Trade > Exports > Value (goods) > Total,"National currency, monthly level, s.a.",Monthly,US Dollar,,International Trade,International Trade Exports Value (goods) Total
53,43344,XTEXVA01,International Trade > Exports > Value (goods) > Total,"US Dollars, monthly level, s.a.",Monthly,US Dollar,,International Trade,International Trade Exports Value (goods) Total
54,44164,XTEXVA01,International Trade > Exports > Value (goods) > Total,"Growth rate previous period, s.a.",Monthly,Percentage,,International Trade,International Trade Exports Value (goods) Total
55,44983,XTEXVA01,International Trade > Exports > Value (goods) > Total,"Growth rate same period previous year, s.a.",Monthly,Percentage,,International Trade,International Trade Exports Value (goods) Total
56,45791,PRMNIG01,Production > Manufacturing > Intermediate goods > Total,Index 2015=100,Monthly,Index,2015=100,Production,Production Manufacturing Intermediate goods Total
57,46415,PRMNIG01,Production > Manufacturing > Intermediate goods > Total,"Index 2015=100, s.a.",Monthly,Index,2015=100,Production,Production Manufacturing Intermediate goods Total
58,47039,CSCICP03,Consumer opinion surveys > Confidence indicators > Composite indicators > OECD Indicator,"Normalised, seasonally adjusted (normal = 100)",Monthly,Index,,Consumer opinion surveys,Consumer opinion surveys Confidence indicators Composite indicators OECD Indicator
59,47800,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI,Index 2015=100,Monthly,Index,2015=100,Currency Conversions,Currency Conversions Real effective exchange rates Overall Economy CPI
60,48442,HOOVMN02,Hours > Overtime hours > Manufacturing > Weekly,"Level, rate or national currency",Monthly,Hours,,Hours,Hours Overtime hours Manufacturing Weekly
61,49251,HOOVMN02,Hours > Overtime hours > Manufacturing > Weekly,"Level, rate or national currency, s.a.",Monthly,Hours,,Hours,Hours Overtime hours Manufacturing Weekly
62,50060,BSCICP03,Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators > OECD Indicator,"Normalised, seasonally adjusted (normal = 100)",Monthly,Index,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Confidence indicators Composite indicators OECD Indicator
63,50941,IRSTPI01,Interest Rates > Immediate rates (< 24 hrs) > Prime rates > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates Immediate rates (< 24 hrs) Prime rates Total
64,51835,SPASTT01,Share Prices > All shares/broad > Total > Total,Index 2015=100,Monthly,Index,2015=100,Share Prices,Share Prices All shares/broad Total Total
65,52633,SPASTT01,Share Prices > All shares/broad > Total > Total,Growth rate previous period,Monthly,Percentage,,Share Prices,Share Prices All shares/broad Total Total
66,53430,CSINFT02,Consumer opinion surveys > Consumer prices (inflation) > Future tendency > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Consumer opinion surveys,Consumer opinion surveys Consumer prices (inflation) Future tendency National indicator
67,53976,HOHWMN02,Hours > Hours worked > Manufacturing > Weekly,"Level, rate or national currency",Monthly,Hours,,Hours,Hours Hours worked Manufacturing Weekly
68,54797,HOHWMN02,Hours > Hours worked > Manufacturing > Weekly,"Level, rate or national currency, s.a.",Monthly,Hours,,Hours,Hours Hours worked Manufacturing Weekly
69,55618,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total,"Index 2015=100, s.a.",Monthly,Index,2015=100,Work Started,Work Started Construction Dwellings / Residential buildings Total
70,56391,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total,Monthly level,Monthly,Number,,Work Started,Work Started Construction Dwellings / Residential buildings Total
71,57164,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total,"Monthly level, s.a.",Monthly,Number,,Work Started,Work Started Construction Dwellings / Residential buildings Total
72,57985,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total,"Growth rate previous period, s.a.",Monthly,Percentage,,Work Started,Work Started Construction Dwellings / Residential buildings Total
73,58757,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total,"Growth rate same period previous year, s.a.",Monthly,Percentage,,Work Started,Work Started Construction Dwellings / Residential buildings Total
74,59518,IRSTFR01,Interest Rates > Immediate rates (< 24 hrs) > Federal funds rate > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates Immediate rates (< 24 hrs) Federal funds rate Total
75,60346,CPALCY01,Consumer Price Index > All items > All items: City > Total,Index 2015=100,Monthly,Index,2015=100,Consumer Price Index,Consumer Price Index All items All items: City Total
76,61167,SLRTTO02,Sales > Retail trade > Total retail trade > Value,"Index 2015=100, s.a.",Monthly,Index,2015=100,Sales,Sales Retail trade Total retail trade Value
77,61987,SLRTTO02,Sales > Retail trade > Total retail trade > Value,Monthly level,Monthly,US Dollar,,Sales,Sales Retail trade Total retail trade Value
78,62807,SLRTTO02,Sales > Retail trade > Total retail trade > Value,"Monthly level, s.a.",Monthly,US Dollar,,Sales,Sales Retail trade Total retail trade Value
79,63627,BSOBLV02,Business tendency surveys (manufacturing) > Order books > Level > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Order books Level National indicator
80,63993,SLMNTO02,Sales > Manufacturing > Total manufacturing > Value,Monthly level,Monthly,US Dollar,,Sales,Sales Manufacturing Total manufacturing Value
81,64813,SLMNTO02,Sales > Manufacturing > Total manufacturing > Value,"Monthly level, s.a.",Monthly,US Dollar,,Sales,Sales Manufacturing Total manufacturing Value
82,65633,CPHPTT01,Consumer Price Index > Harmonised prices > All items > Total,Index 2015=100,Monthly,Index,2015=100,Consumer Price Index,Consumer Price Index Harmonised prices All items Total
83,65891,CPHPTT01,Consumer Price Index > Harmonised prices > All items > Total,Growth rate same period previous year,Monthly,Percentage,,Consumer Price Index,Consumer Price Index Harmonised prices All items Total
84,66137,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark),"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates Long-term government bond yields 10-year Main (including benchmark)
85,66980,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly,"Level, rate or national currency",Monthly,US Dollar,,Labour Compensation,Labour Compensation Earnings Manufacturing Hourly
86,67801,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly,"Level, rate or national currency, s.a.",Monthly,US Dollar,,Labour Compensation,Labour Compensation Earnings Manufacturing Hourly
87,68622,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly,Index 2015=100,Monthly,Index,2015=100,Labour Compensation,Labour Compensation Earnings Manufacturing Hourly
88,69443,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly,"Index 2015=100, s.a.",Monthly,Index,2015=100,Labour Compensation,Labour Compensation Earnings Manufacturing Hourly
89,70264,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly,"Growth rate previous period, s.a.",Monthly,Percentage,,Labour Compensation,Labour Compensation Earnings Manufacturing Hourly
90,71084,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly,"Growth rate same period previous year, s.a.",Monthly,Percentage,,Labour Compensation,Labour Compensation Earnings Manufacturing Hourly
91,71893,CPALTT01,Consumer Price Index > All items > Total > Total,Index 2015=100,Monthly,Index,2015=100,Consumer Price Index,Consumer Price Index All items Total Total
92,72714,CPALTT01,Consumer Price Index > All items > Total > Total,"Index 2015=100, s.a.",Monthly,Index,2015=100,Consumer Price Index,Consumer Price Index All items Total Total
93,73535,CPALTT01,Consumer Price Index > All items > Total > Total,Growth rate same period previous year,Monthly,Percentage,,Consumer Price Index,Consumer Price Index All items Total Total
94,74344,IR3TCD01,Interest Rates > 3-month or 90-day rates and yields > Certificates of deposit > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates 3-month or 90-day rates and yields Certificates of deposit Total
95,75052,PRINTO01,Production > Industry > Total industry > Total industry excluding construction,Index 2015=100,Monthly,Index,2015=100,Production,Production Industry Total industry Total industry excluding construction
96,76304,PRINTO01,Production > Industry > Total industry > Total industry excluding construction,"Index 2015=100, s.a.",Monthly,Index,2015=100,Production,Production Industry Total industry Total industry excluding construction
97,77556,PRINTO01,Production > Industry > Total industry > Total industry excluding construction,"Growth rate previous period, s.a.",Monthly,Percentage,,Production,Production Industry Total industry Total industry excluding construction
98,78807,PRINTO01,Production > Industry > Total industry > Total industry excluding construction,"Growth rate same period previous year, s.a.",Monthly,Percentage,,Production,Production Industry Total industry Total industry excluding construction
99,80047,BSPRTE02,Business tendency surveys (manufacturing) > Production > Tendency > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Production Tendency National indicator
100,80857,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency",Monthly,US Dollar,,Monetary aggregates and their components,Monetary aggregates and their components Narrow money and components M1 and components M1
101,81630,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Level, rate or national currency, s.a.",Monthly,US Dollar,,Monetary aggregates and their components,Monetary aggregates and their components Narrow money and components M1 and components M1
102,82403,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1,"Growth rate previous period, s.a.",Monthly,Percentage,,Monetary aggregates and their components,Monetary aggregates and their components Narrow money and components M1 and components M1
103,83174,PITGND01,Producer Prices Index > Type of goods > Non durable consumer goods > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Type of goods Non durable consumer goods Total
104,84086,PIEAEN01,Producer Prices Index > Economic activities > Energy > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Economic activities Energy Total
105,85250,PIEAFD01,Producer Prices Index > Economic activities > Manufacture of food products > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Economic activities Manufacture of food products Total
106,85707,PITGCG01,Producer Prices Index > Type of goods > Consumer goods > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Type of goods Consumer goods Total
107,86619,PISPFG01,Producer Prices Index > Stage of processing > Finished goods > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Stage of processing Finished goods Total
108,87531,PIEAMI01,Producer Prices Index > Economic activities > Mining and quarrying activities > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Economic activities Mining and quarrying activities Total
109,87976,PITGVG01,Producer Prices Index > Type of goods > Investments goods > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Type of goods Investments goods Total
110,88888,PIEAMP01,Producer Prices Index > Economic activities > Manufacturing > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Economic activities Manufacturing Total
111,89800,PISPPR01,Producer Prices Index > Stage of processing > Primary products > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Stage of processing Primary products Total
112,90712,PISPIG01,Producer Prices Index > Stage of processing > Intermediate goods > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Stage of processing Intermediate goods Total
113,91300,PITGIG01,Producer Prices Index > Type of goods > Intermediate goods > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Type of goods Intermediate goods Total
114,91888,PITGCD01,Producer Prices Index > Type of goods > Durable consumer goods > Total,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Type of goods Durable consumer goods Total
115,92800,PIEAMP02,Producer Prices Index > Economic activities > Manufacturing > Domestic,Index 2015=100,Monthly,Index,2015=100,Producer Prices Index,Producer Prices Index Economic activities Manufacturing Domestic
116,93712,PIEAMP02,Producer Prices Index > Economic activities > Manufacturing > Domestic,Growth rate same period previous year,Monthly,Percentage,,Producer Prices Index,Producer Prices Index Economic activities Manufacturing Domestic
117,94612,LOCOBSNO,Leading Indicators OECD > Component series > BTS - Business situation > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Component series BTS - Business situation Normalised
118,95493,LOCOBSOR,Leading Indicators OECD > Component series > BTS - Business situation > Original series,"Level, rate or national currency, s.a.",Monthly,Percentage,,Leading Indicators OECD,Leading Indicators OECD Component series BTS - Business situation Original series
119,96374,LOCOCINO,Leading Indicators OECD > Component series > CS - Confidence indicator > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Component series CS - Confidence indicator Normalised
120,96919,LOCOCIOR,Leading Indicators OECD > Component series > CS - Confidence indicator > Original series,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Component series CS - Confidence indicator Original series
121,97464,LOCODWNO,Leading Indicators OECD > Component series > Construction > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Component series Construction Normalised
122,98284,LOCODWOR,Leading Indicators OECD > Component series > Construction > Original series,"Monthly level, s.a.",Monthly,Number,,Leading Indicators OECD,Leading Indicators OECD Component series Construction Original series
123,99104,LOCOHSNO,Leading Indicators OECD > Component series > Hours > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Component series Hours Normalised
124,99924,LOCOHSOR,Leading Indicators OECD > Component series > Hours > Original series,"Level, rate or national currency, s.a.",Monthly,Hours,,Leading Indicators OECD,Leading Indicators OECD Component series Hours Original series
125,100744,LOCOODNO,Leading Indicators OECD > Component series > Orders > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Component series Orders Normalised
126,101564,LOCOODOR,Leading Indicators OECD > Component series > Orders > Original series,"National currency, monthly level, s.a.",Monthly,US Dollar,,Leading Indicators OECD,Leading Indicators OECD Component series Orders Original series
127,102384,LOCOSINO,Leading Indicators OECD > Component series > Interest rate spread > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Component series Interest rate spread Normalised
128,103211,LOCOSIOR,Leading Indicators OECD > Component series > Interest rate spread > Original series,"Level, rate or national currency",Monthly,Percentage,,Leading Indicators OECD,Leading Indicators OECD Component series Interest rate spread Original series
129,104038,LOCOSPNO,Leading Indicators OECD > Component series > Share prices > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Component series Share prices Normalised
130,104835,LOCOSPOR,Leading Indicators OECD > Component series > Share prices > Original series,Index 2015=100,Monthly,Index,2015=100,Leading Indicators OECD,Leading Indicators OECD Component series Share prices Original series
131,105632,LOLITOAA,Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Leading indicators CLI Amplitude adjusted
132,106453,LOLITONO,Leading Indicators OECD > Leading indicators > CLI > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Leading indicators CLI Normalised
133,107274,LOLITOTR,Leading Indicators OECD > Leading indicators > CLI > Trend restored,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Leading indicators CLI Trend restored
134,108092,LOLITOTR,Leading Indicators OECD > Leading indicators > CLI > Trend restored,"Growth rate same period previous year, s.a.",Monthly,Percentage,,Leading Indicators OECD,Leading Indicators OECD Leading indicators CLI Trend restored
135,108898,LORSGPNO,Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Reference series Gross Domestic Product (GDP) Normalised
136,109811,LORSGPRT,Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Ratio to trend,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Reference series Gross Domestic Product (GDP) Ratio to trend
137,110724,LORSGPTD,Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Trend,"Level, rate or national currency, s.a.",Monthly,Index,,Leading Indicators OECD,Leading Indicators OECD Reference series Gross Domestic Product (GDP) Trend
138,111637,LRAC24FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 15-24 Females
139,112458,LRAC24FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 15-24 Females
140,113279,LRAC24MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 15-24 Males
141,114100,LRAC24MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 15-24 Males
142,114921,LRAC24TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 15-24 All persons
143,115742,LRAC24TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 15-24 All persons
144,116563,LRAC25FE,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 25-54 Females
145,117384,LRAC25FE,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 25-54 Females
146,118205,LRAC25MA,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 25-54 Males
147,119026,LRAC25MA,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 25-54 Males
148,119847,LRAC25TT,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Activity rate Aged 25-54 All persons
